Order No,Part No,Brand,Box Type,Start Date,Lot Size,Country,Wrap Type,CPU,Picks,Frames,Hours,Boxes,Time for Job,Qty/Hr,Picks/Hr,Picks/Qty,Backlog,PB,Shipment,Check,Shift,Steriliser Loc.,Suggested Line,Maximum People per Line,Helper Cell,Efficiency,Actual Hrs (Planned),STD Hours,Sequence,Components,Line based on Components,Line Based on Picks and CPU,Job Nature,,
9721710,591199,BVI,-,2026-01-30,70,France,D113/D256,5,21,3,2.9455782580000003,14,0.36819728225000004,23.764433964667045,7.129330189400114,0.3,-,-,,,,RT/DB,C2,8,,,,,,18,C1,C2,,,
9722224,588366,BVI,-,2026-02-06,7,Denmark,D113/D261,7,28,4,0.4998036134,1,0.062475451675,14.005500985439653,56.02200394175861,4,-,-,,,,RT/DB,Offline,3,,,,,,17,Offline,Offline,,,
9721685,591218,BVI,-,2026-01-30,36,UK,D113/D256,12,25,4,1.623227994,3,0.20290349925,22.178030525020628,15.40141008681988,0.6944444444444444,-,-,,,,DB - UK,C2,8,,,,,,19,C1,C2,,,
9721705,591222,BVI,-,2026-01-30,40,Italy,D113/D256,5,19,3,1.488664348,8,0.1860830435,26.869723892924185,12.763118849138987,0.475,-,-,,,,RT/DB,C1,8,,,,,,18,C1,C1,,,
9721145,591237,BVI,-,2026-01-27,272,Austria,D113/D256,8,20,3,11.9990650656,34,1.4998831332,22.66843279146757,1.66679652878438,0.07352941176470588,-,-,,,,RT/DB,C2,8,,,,,,14,C1,C1,,,
9722147,591265,BVI,-,2026-02-06,160,France,D113/D256,10,10,2,4.6232812800000005,16,0.5779101600000001,34.60745524875354,2.162965953047096,0.0625,-,-,,,,RT/DB,C3/4,4,,,,,,9,C3/4,C1,,,
9721687,591279,BVI,-,2026-01-30,100,Italy,D113/D256,5,10,2,3.35237102,20,0.4190463775,29.829633833310012,2.9829633833310014,0.1,-,-,,,,RT/DB,C1,8,,,,,,10,C1,C1,,,
9722144,591294,BVI,-,2026-02-06,250,France,D113/D256,10,19,3,11.2274751,25,1.4034343875,22.26680511631685,1.6922771888400805,0.076,-,-,,,,RT/DB,C1,8,,,,,,16,C1,C1,,,
9721006,591297,BVI,-,2026-01-23,150,Belgium,D113/D256,5,20,3,6.8872426650000005,30,0.8609053331250001,21.779398127247486,2.9039197502996648,0.13333333333333333,x,-,,,,RT/DB,C2,8,,,,,,19,C1,C1,,,
9722146,591317,BVI,-,2026-02-06,80,Denmark,D113/D256,20,17,3,2.936888912,4,0.367111114,27.23970922874321,5.788438211107931,0.2125,-,-,,,,RT/DB,C1,8,,,,,,13,C1,C1,,,
9721572,591320,BVI,-,2026-01-23,105,Italy,D113/D256,5,15,2,3.687148395,21,0.460893549375,28.477291595420045,4.068184513631435,0.14285714285714285,x,-,,,,RT/DB,C1,8,,,,,,14,C1,C1,,,
9721082,591330,BVI,-,2026-01-22,520,Italy,D113/D256,5,19,3,21.048761708,104,2.6310952135,24.704541160840055,0.9026659270306943,0.03653846153846154,x,-,,,,RT/DB,C1,8,,,,,,19,C1,C1,,,
9721786,591579,BVI,-,2026-01-30,300,Japan,None,50,2,1,2.5042730399999997,6,0.31303412999999997,119.79524405214218,0.7986349603476146,0.006666666666666667,-,-,,,,DB - UK,C3/4,4,,,,,,2,C3/4,C3/4,,,
9721023,591347,BVI,-,2026-01-23,160,France,D113/D256,20,14,2,8.183195504,8,1.022899438,19.552264139576153,1.7108231122129132,0.0875,x,-,,,,RT/DB,C1,8,,,,,,8,C3/4,C1,,,
9720750,591354,BVI,-,2026-01-15,700,France,D113/D256,7,11,2,25.44373552,100,3.18046694,27.511683551724012,0.4323264558128059,0.015714285714285715,x,-,,,,RT/DB,C1,8,,,,,,9,C3/4,C1,,,
9722190,591364,BVI,-,2026-02-06,70,France,D113/D256,5,30,4,4.1643246959999995,14,0.5205405869999999,16.80944813626992,7.204049201258538,0.42857142857142855,-,-,,,,RT/DB,C2,8,,,,,,17,C1,C2,,,
9721790,591366,BVI,-,2026-01-30,105,Italy,D113/D256,5,20,3,4.332735456,21,0.541591932,24.23411285233104,4.616021495682103,0.19047619047619047,-,-,,,,RT/DB,C2,8,,,,,,18,C1,C1,,,
9721062,591367,BVI,-,2026-01-22,340,Spain,D113/D256,10,14,2,13.259342304,34,1.657417788,25.64229749898159,1.0558593087815948,0.041176470588235294,x,-,,,,RT/DB,C1,8,,,,,,13,C1,C1,,,
9722193,591376,BVI,-,2026-02-06,42,Italy,D113/D256,7,17,3,1.592678367,6,0.199084795875,26.370672742364185,10.67384372905217,0.40476190476190477,-,-,,,,RT/DB,C1,8,,,,,,13,C1,C1,,,
9721027,591383,BVI,-,2026-01-23,30,France,D113/D256,5,10,2,0.8901513480000001,6,0.11126891850000001,33.70213398811816,11.234044662706054,0.3333333333333333,x,-,,,,RT/DB,C1,8,,,,,,9,C3/4,C1,,,
9721035,591387,BVI,-,2026-01-23,35,Italy,D113/D256,5,16,2,1.2864475715,7,0.1608059464375,27.20670532977099,12.43735100789531,0.45714285714285713,x,-,,,,RT/DB,C1,8,,,,,,12,C1,C1,,,
9721809,591406,BVI,-,2026-01-30,203,Italy,D113/D256,7,13,2,6.7114050052,29,0.83892562565,30.24701978836257,1.9370012672350416,0.06403940886699508,-,-,,,,RT/DB,C1,8,,,,,,10,C1,C1,,,
9721804,591428,BVI,-,2026-01-30,60,Italy,D113/D256,10,15,2,2.378840262,6,0.29735503275,25.222374515199792,6.305593628799948,0.25,-,-,,,,RT/DB,C1,8,,,,,,13,C1,C1,,,
9722099,588718,BVI,-,2026-02-03,120,Germany,D120,40,5,1,2.8102495679999997,3,0.35128119599999996,42.70083389262886,1.7792014121928692,0.041666666666666664,-,-,,,,RT/DB,No Info,8,,,,,,5,C3/4,C3/4,,,
9722266,588509,BVI,-,2026-02-06,16,Sweden,D113/D256,16,13,2,0.5536577072,1,0.0692072134,28.898721704636646,23.480211385017274,0.8125,-,-,,,,RT/DB,Offline,3,,,,,,8,Offline,Offline,,,
9721583,591467,BVI,-,2026-01-22,492,Italy,D113/D256,12,15,2,17.074096366800003,41,2.1342620458500003,28.815580598260954,0.8785237987274681,0.03048780487804878,x,-,,,,RT/DB,C1,8,,,,,,14,C1,C1,,,
9721044,591469,BVI,-,2026-01-23,130,France,D113/D256,5,15,2,4.880591729000001,26,0.6100739661250001,26.636114475126583,3.0733978240530675,0.11538461538461539,x,-,,,,RT/DB,C1,8,,,,,,14,C1,C1,,,
9722242,588529,BVI,-,2026-02-06,17,France,D113/D256,17,19,3,0.6740047409,1,0.0842505926125,25.222374515199796,28.189712693458596,1.1176470588235294,-,-,,,,RT/DB,Offline,3,,,,,,12,Offline,Offline,,,
9722353,588610,BVI,-,2026-02-06,10,Germany,D113/D260,10,48,6,0.937984683,1,0.117248085375,10.661154900756518,51.17354352363129,4.8,-,-,,,,RT/DB,Offline,3,,,,,,17,Offline,Offline,,,
9722236,590111,BVI,-,2026-02-06,40,Japan,D113/D256,20,7,1,0.97699156,2,0.122123945,40.94201182249722,7.164852068937013,0.175,-,-,,,,DB - UK,C3/4,4,,,,,,7,C3/4,C3/4,,,
9721081,591531,BVI,-,2026-01-23,120,Italy,D113/D256,10,15,2,4.2612802080000005,12,0.5326600260000001,28.160551323218684,3.5200689154023355,0.125,x,-,,,,RT/DB,C1,8,,,,,,13,C1,C1,,,
9721038,591549,BVI,-,2026-01-23,60,France,D113/D256,10,16,2,2.202666684,6,0.2753333355,27.23970922874321,7.263922460998189,0.26666666666666666,x,-,,,,RT/DB,C1,8,,,,,,16,C1,C1,,,
9721784,591564,BVI,-,2026-01-30,60,France,D113/D256,5,16,2,2.1808916160000003,12,0.27261145200000003,27.51168355172401,7.336448947126402,0.26666666666666666,-,-,,,,RT/DB,C1,8,,,,,,11,C1,C1,,,
9722352,590370,BVI,-,2026-02-06,200,France,D120,50,5,1,4.520108560000001,4,0.5650135700000001,44.246724906093846,1.106168122652346,0.025,-,-,,,,RT/DB,C3/4,4,,,,,,5,C3/4,C3/4,,,
9722141,591125,BVI,-,2026-02-06,75,Germany,D120,15,8,1,1.9043003475,5,0.2380375434375,39.38454356659723,4.2010179804370384,0.10666666666666667,-,-,,,,RT/DB,C3/4,4,,,,,,8,C3/4,C3/4,,,
9721793,591580,BVI,-,2026-01-28,64,Belgium,D113/D256,4,48,6,5.4344993728,16,0.6793124216,11.776613742992389,8.832460307244292,0.75,-,-,,,,RT/DB,C2,8,,,,,,19,C1,C2,,,
9721069,591583,BVI,-,2026-01-23,325,France,D113/D256,5,15,2,11.945584592500001,65,1.4931980740625002,27.20670532977099,1.2556940921432764,0.046153846153846156,x,-,,,,RT/DB,C1,8,,,,,,14,C1,C1,,,
9722315,588651,BVI,-,2026-02-06,25,Spain,D113/D265,25,5,1,0.598905495,1,0.074863186875,41.74281286231979,8.348562572463958,0.2,-,-,,,,RT/DB,Offline,3,,,,,,5,Offline,Offline,,,
9722140,591138,BVI,-,2026-02-06,160,Spain,D113/D256,40,9,2,4.456202544,4,0.557025318,35.905010694684435,2.019656851576,0.05625,-,-,,,,RT/DB,C3/4,4,,,,,,7,C3/4,C3/4,,,
9720793,591602,BVI,-,2026-01-16,320,Italy,D113/D256,10,16,2,11.747555648,32,1.468444456,27.23970922874321,1.3619854614371603,0.05,x,-,,,,RT/DB,C1,8,,,,,,14,C1,C1,,,
9721811,591604,BVI,-,2026-01-30,72,Italy,D113/D256,12,11,2,2.1585451824,6,0.2698181478,33.355799353686024,5.096024901257587,0.1527777777777778,-,-,,,,RT/DB,C3/4,4,,,,,,8,C3/4,C1,,,
9722306,588682,BVI,-,2026-02-06,5,Italy,D113/D265,5,25,4,0.229549089,1,0.028693636125,21.78183334023164,108.9091667011582,5,-,-,,,,RT/DB,Offline,3,,,,,,19,Offline,Offline,,,
9722197,591571,BVI,-,2026-02-06,140,Belgium,D113/D256,20,7,1,3.6099758939999997,7,0.45124698674999997,38.781422400268255,1.9390711200134125,0.05,-,-,,,,RT/DB,C3/4,4,,,,,,7,C3/4,C3/4,,,
9721138,591645,BVI,-,2026-01-27,60,Austria,D113/D256,10,19,3,2.378840262,6,0.29735503275,25.222374515199792,7.987085263146601,0.31666666666666665,-,-,,,,RT/DB,C1,8,,,,,,13,C1,C1,,,
9722155,591622,BVI,-,2026-02-06,210,Italy,D120,30,5,1,5.030806158,7,0.62885076975,41.74281286231979,0.9938764967218998,0.023809523809523808,-,-,,,,RT/DB,C3/4,4,,,,,,5,C3/4,C3/4,,,
9721722,591667,BVI,-,2026-01-30,70,Italy,D120,5,15,2,2.572895143,14,0.321611892875,27.20670532977099,5.830008284950926,0.21428571428571427,-,-,,,,RT/DB,C1,8,,,,,,12,C1,C1,,,
9721046,591674,BVI,-,2026-01-23,140,Italy,D113/D256,7,12,2,4.496578296,20,0.562072287,31.134785337673122,2.668695886086268,0.08571428571428572,x,-,,,,RT/DB,C1,8,,,,,,11,C1,C1,,,
9721724,591675,BVI,-,2026-01-30,112,Italy,D113/D256,7,12,2,3.5972626368,16,0.4496578296,31.134785337673122,3.3358698576078347,0.10714285714285714,-,-,,,,RT/DB,C1,8,,,,,,11,C1,C1,,,
9721083,591693,BVI,-,2026-01-23,196,Sweden,D113/D256,7,23,3,10.5518935536,28,1.3189866942,18.57486516561101,2.1797035653523125,0.11734693877551021,x,-,,,,RT/DB,C2,8,,,,,,15,C1,C2,,,
9720769,591726,BVI,-,2026-01-16,380,Ireland,D113/D256,20,11,2,11.887215936,19,1.485901992,31.967115096242498,0.9253638580491249,0.02894736842105263,x,-,,,,RT/DB,C3/4,4,,,,,,9,C3/4,C1,,,
9722202,591946,BVI,-,2026-02-06,200,Spain,D113/D256,40,5,1,4.97123082,5,0.6214038525,40.23148536884876,1.005787134221219,0.025,-,-,,,,RT/DB,C3/4,4,,,,,,5,C3/4,C3/4,,,
9719041,591730,BVI,-,2026-01-19,560,Austria,D113/D256,8,14,2,20.583161144,70,2.572895143,27.20670532977099,0.6801676332442748,0.025,x,-,,,,RT/DB,C1,8,,,,,,13,C1,C1,,,
9721772,591736,BVI,-,2026-01-29,336,France,D113/D256,8,22,3,13.850576678400001,42,1.7313220848000002,24.258917718855173,1.5883815173059934,0.06547619047619048,-,-,,,,RT/DB,C2,8,,,,,,14,C1,C2,,,
9721063,591737,BVI,-,2026-01-23,145,France,D113/D256,5,15,2,5.329568510500001,29,0.6661960638125001,27.20670532977099,2.8144867582521713,0.10344827586206896,x,-,,,,RT/DB,C1,8,,,,,,13,C1,C1,,,
9722316,588683,BVI,-,2026-02-06,10,Italy,D113/D265,10,21,3,0.41221954400000005,1,0.051527443000000006,24.25891771885517,50.943727209595856,2.1,-,-,,,,RT/DB,Offline,3,,,,,,17,Offline,Offline,,,
9721058,591799,BVI,-,2026-01-23,215,Italy,D113/D256,5,20,3,8.871791648,43,1.108973956,24.23411285233104,2.2543360792866087,0.09302325581395349,x,-,,,,RT/DB,C2,8,,,,,,18,C1,C1,,,
9722338,588772,BVI,-,2026-02-06,10,France,D113/D256,10,16,2,0.541500475,1,0.067687559375,18.467204483984986,29.54752717437598,1.6,-,-,,,,RT/DB,Offline,3,,,,,,13,Offline,Offline,,,
9722180,591849,BVI,-,2026-02-06,160,France,D113/D256,8,16,2,6.479995504,20,0.809999438,24.691375156238074,2.469137515623807,0.1,-,-,,,,RT/DB,C1,8,,,,,,12,C1,C1,,,
9721010,591862,BVI,-,2026-01-23,125,France,D113/D256,5,20,3,5.39855335,25,0.67481916875,23.154351155944397,3.7046961849511035,0.16,x,-,,,,RT/DB,C2,8,,,,,,16,C1,C1,,,
9722259,590171,BVI,-,2026-02-06,20,France,D113/D256,10,16,2,0.735175214,2,0.09189690175,27.204399195101267,21.763519356081012,0.8,-,-,,,,RT/DB,Offline,3,,,,,,11,Offline,Offline,,,
9721142,591900,BVI,-,2026-01-27,60,Belgium,D113/D256,6,17,3,2.572778292,10,0.3215972865,23.32109229410429,6.6076428166628824,0.2833333333333333,-,-,,,,RT/DB,C1,8,,,,,,15,C1,C1,,,
9721051,591901,BVI,-,2026-01-23,119,France,D113/D256,7,22,3,5.0219921612,17,0.62774902015,23.695775736050745,4.3807316486816505,0.18487394957983194,x,-,,,,RT/DB,C2,8,,,,,,11,C1,C2,,,
9722173,591905,BVI,-,2026-02-06,119,Denmark,D113/D256,7,14,2,4.5914598954,17,0.573932486925,25.917682547814767,3.0491391232723255,0.11764705882352941,-,-,,,,RT/DB,C1,8,,,,,,14,C1,C1,,,
9715572,591927,BVI,-,2025-12-23,400,UK,D113/D256,20,13,2,12.345717520000001,20,1.5432146900000001,32.399898940827214,1.0529967155768845,0.0325,x,-,,,,DB - UK,C1,8,,,,,,12,C1,C1,,,
9718851,591937,BVI,-,2026-01-15,344,France,D113/D256,8,15,2,13.2727916304,43,1.6590989538,25.917682547814767,1.1301315064454114,0.0436046511627907,x,-,,,,RT/DB,C1,8,,,,,,12,C1,C1,,,
9721104,591939,BVI,-,2026-01-23,190,Italy,D113/D256,5,29,4,11.161925193,38,1.395240649125,17.022153142466415,2.5981181112185583,0.15263157894736842,x,-,,,,RT/DB,C2,8,,,,,,23,C2,C2,,,
9722376,590897,BVI,-,2026-02-10,200,Japan,D120,50,4,1,4.48229298,4,0.5602866225,44.62001946155692,0.8924003892311385,0.02,-,-,,,,DB - UK,C3/4,4,,,,,,4,C3/4,C3/4,,,
9721813,591948,BVI,-,2026-01-30,60,Spain,D113/D256,5,18,3,2.347155324,12,0.2933944155,25.562858745005663,7.668857623501698,0.3,-,-,,,,RT/DB,C1,8,,,,,,18,C1,C1,,,
9721818,591954,BVI,-,2026-01-30,80,Spain,D113/D256,5,16,2,3.0034410640000004,16,0.37543013300000005,26.636114475126583,5.327222895025317,0.2,-,-,,,,RT/DB,C1,8,,,,,,15,C1,C1,,,
9721832,591960,BVI,-,2026-01-30,42,Belgium,D113/D256,7,11,2,1.4884251480000004,6,0.18605314350000005,28.21774414147428,7.390361560862312,0.2619047619047619,-,-,,,,RT/DB,C3/4,4,,,,,,10,C1,C1,,,
9722226,590188,BVI,-,2026-02-06,10,UK,D120,10,12,2,0.2991432,1,0.0373929,33.428806003278694,40.114567203934435,1.2,-,-,,,,DB - UK,Offline,3,,,,,,12,Offline,Offline,,,
9721825,591985,BVI,-,2026-01-30,36,UK,D113/D256,9,20,3,1.4552813088,4,0.1819101636,24.737485311128594,13.743047395071443,0.5555555555555556,-,-,,,,DB - UK,C1,8,,,,,,17,C1,C1,,,
9721086,591995,BVI,-,2026-01-23,304,Spain,D113/D256,8,10,2,8.699692457600001,38,1.0874615572000002,34.943763987246165,1.1494659206330975,0.03289473684210526,x,-,,,,RT/DB,C1,8,,,,,,7,C3/4,C1,,,
9721094,591996,BVI,-,2026-01-23,231,Spain,D113/D256,7,10,2,6.6106215714,33,0.826327696425,34.943763987246165,1.5127170557249423,0.04329004329004329,x,-,,,,RT/DB,C3/4,4,,,,,,7,C3/4,C1,,,
9721004,592008,BVI,-,2026-01-23,272,Belgium,D113/D256,8,18,3,10.2116996176,34,1.2764624522,26.636114475126586,1.7626840461480828,0.0661764705882353,x,-,,,,RT/DB,C1,8,,,,,,13,C1,C1,,,
9722273,590850,BVI,-,2026-02-06,12,Italy,D113/D256,12,12,2,0.37614383760000003,1,0.047017979700000004,31.902689345029426,31.902689345029426,1,-,-,,,,RT/DB,Offline,3,,,,,,12,Offline,Offline,,,
9722211,592010,BVI,-,2026-02-05,287,Belgium,D113/D256,7,22,3,12.069748034400002,41,1.5087185043000002,23.778458272867088,1.8227389616831915,0.07665505226480836,-,-,,,,RT/DB,C2,8,,,,,,18,C1,C2,,,
9721103,591616,BVI,-,2026-02-06,14,Belgium,D113/D256,7,19,3,0.5666974306,2,0.070837178825,24.704541160840055,33.52759157542579,1.3571428571428572,-,-,,,,RT/DB,Offline,3,,,,,,15,Offline,Offline,,,
9721463,592023,BVI,-,2026-01-15,564,Denmark,D113/D256,12,17,3,21.1479448404,47,2.64349310505,26.66925813625927,0.803860617582283,0.030141843971631204,x,-,,,,RT/DB,C1,8,,,,,,13,C1,C1,,,
9722182,591762,BVI,-,2026-02-06,7,Belgium,D113/D256,7,19,3,0.320178985,1,0.040022373125,21.862771536988912,59.341808457541326,2.7142857142857144,-,-,,,,RT/DB,Offline,3,,,,,,14,Offline,Offline,,,
9718775,592029,BVI,-,2026-01-13,1800,UK,D113/D256,10,19,3,71.36520786,180,8.9206509825,25.222374515199796,0.26623617543822004,0.010555555555555556,x,-,,,,DB - UK,C1,8,,,,,,18,C1,C1,,,
9721735,592044,BVI,-,2026-01-30,32,Belgium,D113/D256,8,23,3,1.6223489472000001,4,0.20279361840000001,19.72448655711742,14.176974712928144,0.71875,-,-,,,,RT/DB,No Info,8,,,,,,18,C1,C2,,,
9722394,588941,BVI,-,2026-02-10,28,Austria,D113/D256,7,20,3,1.230663686,4,0.15383296075,22.751951096410266,16.25139364029305,0.7142857142857143,-,-,,,,RT/DB,Offline,3,,,,,,12,Offline,Offline,,,
9722106,NS58935699,BVI,-,2026-02-04,108,UK,D113/D256,12,10,2,6.0173006760000005,9,0.7521625845000001,17.948247198408737,1.6618747405934013,0.09259259259259259,-,-,,,,DB - PB,No Info,8,,,,,,10,C1,C1,,,
9715445,NS59021699,BVI,-,2025-12-02,30,France,D113/D256,10,18,3,1.619065614,3,0.20238320175,18.529205821302806,11.117523492781684,0.6,x,-,,,,DB - PB,C1,8,,,,,,13,C1,C1,,,
9721841,NS59092999,BVI,-,2026-01-30,30,UK,D113/D256,10,24,3,1.305669555,3,0.163208694375,22.97671710664955,18.381373685319637,0.8,-,-,,,,DB - PB,C2,8,,,,,,22,C2,C2,,,
9722213,NS59175299,BVI,-,2026-02-06,50,Italy,D113/D256,5,24,3,2.23799502,10,0.2797493775,22.34142594294066,10.723884452611516,0.48,-,-,,,,DB - PB,C2,8,,,,,,19,C1,C2,,,
