Day,Order No,Part No,Brand,Start Date,Lot Size,Picks,Hours,Country,Wrap Type,CPU,Suggested Line,Qty/Hr,Picks/Hr,Picks/Qty
Day 1,9715445,NS59021699,BVI,2025-12-02,30.0,18.0,1.619065614,France,D113/D256,10.0,C1,18.529205821302806,11.117523492781684,0.6
Day 1,9720983,590235,BVI,2026-01-23,50.0,26.0,2.16773073,UK,D142,10.0,C2,23.065595421069663,11.994109618956225,0.52
Day 1,9722236,590111,BVI,2026-02-06,40.0,7.0,0.97699156,Japan,D113/D256,20.0,C3/4,40.94201182249722,7.164852068937013,0.175
Day 1,9709482,588757,BVI,2025-12-04,1800.0,20.0,82.64691198000001,UK,D113/D256,10.0,No Info,21.779398127247486,0.24199331252497205,0.011111111111111112
Day 1,9721222,590389,BVI,2026-01-08,1968.0,17.0,80.3858065152,UK,D113/D256,12.0,C1,24.48193388005474,0.21148011989884685,0.008638211382113821
Day 1,9718017,588985,BVI,2026-01-13,3000.0,6.0,74.8090485,France,D113/D256,40.0,C3/4,40.10210075055292,0.08020420150110584,0.002
Day 1,9718783,590004,BVI,2026-01-13,3000.0,8.0,73.274367,UK,D120,40.0,C3/4,40.94201182249722,0.10917869819332592,0.0026666666666666666
Day 1,9718775,592029,BVI,2026-01-13,1800.0,19.0,71.36520786,UK,D113/D256,10.0,C1,25.222374515199796,0.26623617543822004,0.010555555555555556
Day 1,9722099,588718,BVI,2026-02-03,120.0,5.0,2.8102495679999997,Germany,D120,40.0,No Info,42.70083389262886,1.7792014121928692,0.041666666666666664
Day 2,9721027,591383,BVI,2026-01-23,30.0,10.0,0.8901513480000001,France,D113/D256,5.0,C1,33.70213398811816,11.234044662706054,0.3333333333333333
Day 2,9721841,NS59092999,BVI,2026-01-30,30.0,24.0,1.305669555,UK,D113/D256,10.0,C2,22.97671710664955,18.381373685319637,0.8
Day 2,9721832,591960,BVI,2026-01-30,42.0,11.0,1.4884251480000004,Belgium,D113/D256,7.0,C3/4,28.21774414147428,7.390361560862312,0.2619047619047619
Day 2,9720832,588508,BVI,2026-01-21,2000.0,10.0,54.9231588,UK,D120,20.0,C3/4,36.41451154116795,0.18207255770583974,0.005
Day 2,9718776,590768,BVI,2026-01-14,2000.0,8.0,50.7813426,UK,D120,25.0,C3/4,39.38454356659723,0.15753817426638891,0.004
Day 2,9721552,590064,BVI,2026-01-21,2000.0,9.0,50.7813426,Spain,D120,50.0,C3/4,39.38454356659723,0.17723044604968755,0.0045
Day 2,9717808,591729,BVI,2026-01-07,2160.0,5.0,50.584492223999995,Ireland,D120,20.0,C3/4,42.70083389262886,0.09884452289960384,0.0023148148148148147
Day 2,9719069,591344,BVI,2026-01-21,1800.0,4.0,41.53308732,Spain,D120,75.0,C3/4,43.33894049656215,0.09630875665902701,0.0022222222222222222
Day 2,9719725,588325,BVI,2026-01-28,900.0,25.0,39.864907980000005,France,D113/D256,5.0,C2,22.576246769502763,0.6271179658195212,0.027777777777777776
Day 2,9716588,589984,BVI,2025-12-22,1008.0,14.0,32.9524615728,UK,D113/D256,12.0,C1,30.589520536214966,0.42485445189187454,0.013888888888888888
Day 2,9719103,588668,BVI,2026-01-22,1140.0,10.0,32.947095084000004,France,D113/D256,20.0,C3/4,34.600926032887635,0.30351689502533014,0.008771929824561403
Day 2,9717993,590306,BVI,2026-01-12,980.0,12.0,30.718413404,Austria,D113/D256,35.0,C1,31.90268934502943,0.3906451756534216,0.012244897959183673
Day 3,9721035,591387,BVI,2026-01-23,35.0,16.0,1.2864475715,Italy,D113/D256,5.0,C1,27.20670532977099,12.43735100789531,0.45714285714285713
Day 3,9721928,590180,BVI,2026-01-30,32.0,22.0,1.3810134752,UK,D113/D256,8.0,C2,23.171388675527385,15.930329714425078,0.6875
Day 3,9722141,591125,BVI,2026-02-06,75.0,8.0,1.9043003475,Germany,D120,15.0,C3/4,39.38454356659723,4.2010179804370384,0.10666666666666667
Day 3,9720654,588758,BVI,2026-01-15,750.0,15.0,30.7027716,France,D113/D256,5.0,C1,24.42776208516628,0.4885552417033256,0.02
Day 3,9721674,588342,BVI,2026-01-29,780.0,17.0,29.898724674,France,D113/D261,5.0,No Info,26.088069257291426,0.5685861248384029,0.021794871794871794
Day 3,9718067,591652,BVI,2026-01-15,1000.0,9.0,28.5427178,UK,D120,20.0,C3/4,35.035206072772795,0.3153168546549551,0.009
Day 3,9720981,590225,BVI,2026-01-22,1056.0,10.0,27.8946314592,Japan,D120,24.0,C3/4,37.85674679174576,0.35849192037638034,0.00946969696969697
Day 3,9720750,591354,BVI,2026-01-15,700.0,11.0,25.44373552,France,D113/D256,7.0,C1,27.511683551724012,0.4323264558128059,0.015714285714285715
Day 3,9717988,590955,BVI,2026-01-12,1000.0,7.0,25.443382800000002,Austria,D113/D256,50.0,C3/4,39.302949920637126,0.27512064944445985,0.007
Day 3,9720552,591601,BVI,2026-01-08,940.0,7.0,25.149744555999998,Italy,D113/D256,20.0,C3/4,37.37612514938023,0.2783328468570868,0.007446808510638298
Day 3,9720804,589921,BVI,2026-01-15,658.0,14.0,24.2198294212,France,D113/D256,7.0,C1,27.167821397785822,0.5780387531443792,0.02127659574468085
Day 3,9719073,590924,BVI,2026-01-22,800.0,8.0,23.22543928,Spain,D113/D256,50.0,C3/4,34.44498897762075,0.3444498897762075,0.01
Day 3,9721541,588934,BVI,2026-01-23,568.0,4.0,22.836563216052795,UK,D120,0.0,No Info,24.872394091275897,0.1751577048681401,0.007042253521126761
Day 3,9722435,590327,BVI,2026-02-12,252.0,29.0,20.970257338800003,Italy,D148,4.0,C2,12.017019911994097,1.3829110216183684,0.11507936507936507
Day 3,9721463,592023,BVI,2026-01-15,564.0,17.0,21.1479448404,Denmark,D113/D256,12.0,C1,26.66925813625927,0.803860617582283,0.030141843971631204
Day 3,9721082,591330,BVI,2026-01-22,520.0,19.0,21.048761708,Italy,D113/D256,5.0,C1,24.704541160840055,0.9026659270306943,0.03653846153846154
Day 3,9719041,591730,BVI,2026-01-19,560.0,14.0,20.583161144,Austria,D113/D256,8.0,C1,27.20670532977099,0.6801676332442748,0.025
Day 3,9722128,590278,BVI,2026-02-05,680.0,12.0,20.338039828,Japan,D120,20.0,C3/4,33.434883880196914,0.5900273625917103,0.01764705882352941
Day 3,9721057,590848,BVI,2026-01-22,430.0,20.0,17.755540693,Italy,D113/D256,5.0,C2,24.217792487137523,1.1264089528901173,0.046511627906976744
Day 4,9720849,590592,BVI,2026-01-23,40.0,15.0,1.438942248,Japan,D113/D256,20.0,C1,27.79819694334251,10.42432385375344,0.375
Day 4,9721969,590070,BVI,2026-01-30,30.0,25.0,1.3884225840000002,UK,D113/D256,6.0,C2,21.607254409223867,18.006045341019888,0.8333333333333334
Day 4,9721811,591604,BVI,2026-01-30,72.0,11.0,2.1585451824,Italy,D113/D256,12.0,C3/4,33.355799353686024,5.096024901257587,0.1527777777777778
Day 4,9721665,588924,BVI,2026-01-22,315.0,26.0,19.5045839415,UK,D120,15.0,C2,16.150049698305683,1.333019975098247,0.08253968253968254
Day 4,9721143,590949,BVI,2026-01-26,296.0,26.0,18.681740744,Austria,D113/D256,4.0,C2,15.844347914691307,1.391733262776939,0.08783783783783784
Day 4,9721583,591467,BVI,2026-01-22,492.0,15.0,17.074096366800003,Italy,D113/D256,12.0,C1,28.815580598260954,0.8785237987274681,0.03048780487804878
Day 4,9720979,588569,BVI,2026-01-22,300.0,19.0,16.957743179999998,France,D113/D256,4.0,C2,17.69103334185534,1.1204321116508384,0.06333333333333334
Day 4,9722049,590619,BVI,2026-01-29,600.0,9.0,16.71075954,Denmark,D113/D256,30.0,C3/4,35.905010694684435,0.5385751604202665,0.015
Day 4,9721989,588623,BVI,2026-01-29,625.0,6.0,15.581796062499999,France,D113/D256,25.0,C3/4,40.110908748456744,0.3850647239851847,0.0096
Day 4,9721662,590711,BVI,2026-01-22,520.0,10.0,15.02566416,France,D113/D256,20.0,C3/4,34.607455248753546,0.6655279855529528,0.019230769230769232
Day 4,9722390,588627,BVI,2026-02-10,360.0,14.0,14.404001328,Austria,D113/D256,5.0,C1,24.993055179757203,0.9719521458794467,0.03888888888888889
Day 4,9720857,590663,BVI,2026-01-22,250.0,21.0,14.117587625,UK,D113/D256,10.0,C2,17.708407883885897,1.4875062622464155,0.084
Day 4,9721132,588901S,BVI,2026-01-27,244.0,22.0,13.9748280864,Austria,D113/D256,4.0,C2,17.459964336695883,1.5742590795381535,0.09016393442622951
Day 4,9720910,588511,BVI,2026-01-22,500.0,17.0,13.92839945,UK,D113/D256,10.0,C1,35.897879134992785,1.2205278905897547,0.034
Day 4,9721772,591736,BVI,2026-01-29,336.0,22.0,13.850576678400001,France,D113/D256,8.0,C2,24.258917718855173,1.5883815173059934,0.06547619047619048
Day 4,9718851,591937,BVI,2026-01-15,344.0,15.0,13.2727916304,France,D113/D256,8.0,C1,25.917682547814767,1.1301315064454114,0.0436046511627907
Day 4,9721062,591367,BVI,2026-01-22,340.0,14.0,13.259342304,Spain,D113/D256,10.0,C1,25.64229749898159,1.0558593087815948,0.041176470588235294
Day 4,9722009,591064,BVI,2026-01-29,300.0,17.0,12.91562556,Belgium,D113/D256,6.0,C1,23.227678644471325,1.3162351231867084,0.056666666666666664
Day 4,9720873,588775,BVI,2026-01-22,204.0,31.0,12.5349374268,Ireland,D113/D256,12.0,C2,16.27451283193828,2.473087734265131,0.15196078431372548
Day 4,9721136,590203,BVI,2026-01-27,280.0,22.0,12.432801696,Austria,D113/D256,4.0,C2,22.521070217832257,1.7695126599725346,0.07857142857142857
Day 4,9715572,591927,BVI,2025-12-23,400.0,13.0,12.345717520000001,UK,D113/D256,20.0,C1,32.399898940827214,1.0529967155768845,0.0325
Day 4,9722211,592010,BVI,2026-02-05,287.0,22.0,12.069748034400002,Belgium,D113/D256,7.0,C2,23.778458272867088,1.8227389616831915,0.07665505226480836
Day 4,9721479,588633,BVI,2026-01-16,272.0,10.0,12.0027617088,France,D113/D256,16.0,C1,22.66145130587565,0.8331415921277813,0.03676470588235294
Day 4,9721145,591237,BVI,2026-01-27,272.0,20.0,11.9990650656,Austria,D113/D256,8.0,C2,22.66843279146757,1.66679652878438,0.07352941176470588
Day 4,9722349,590421,BVI,2026-02-06,295.0,19.0,11.9501860635,Italy,D113/D256,5.0,C1,24.685808106455514,1.5899334034666261,0.06440677966101695
Day 4,9721069,591583,BVI,2026-01-23,325.0,15.0,11.945584592500001,France,D113/D256,5.0,C1,27.20670532977099,1.2556940921432764,0.046153846153846156
Day 4,9720769,591726,BVI,2026-01-16,380.0,11.0,11.887215936,Ireland,D113/D256,20.0,C3/4,31.967115096242498,0.9253638580491249,0.02894736842105263
Day 4,9720793,591602,BVI,2026-01-16,320.0,16.0,11.747555648,Italy,D113/D256,10.0,C1,27.23970922874321,1.3619854614371603,0.05
Day 4,9721053,590837,BVI,2026-01-23,300.0,18.0,11.7457791,Italy,D113/D256,5.0,C1,25.541089905223913,1.5324653943134348,0.06
Day 4,9722314,588625,BVI,2026-02-06,285.0,20.0,11.5450950105,France,D113/D256,5.0,C2,24.68580810645551,1.7323374109793341,0.07017543859649122
Day 4,9720893,588103,BVI,2026-01-23,175.0,26.0,11.525430559999998,France,D113/D256,7.0,No Info,15.183814529875578,2.255881015867229,0.14857142857142858
Day 5,9721038,591549,BVI,2026-01-23,60.0,16.0,2.202666684,France,D113/D256,10.0,C1,27.23970922874321,7.263922460998189,0.26666666666666666
Day 5,9721685,591218,BVI,2026-01-30,36.0,25.0,1.623227994,UK,D113/D256,12.0,C2,22.178030525020628,15.40141008681988,0.6944444444444444
Day 5,9721786,591579,BVI,2026-01-30,300.0,2.0,2.5042730399999997,Japan,None,50.0,C3/4,119.79524405214218,0.7986349603476146,0.006666666666666667
Day 5,9722144,591294,BVI,2026-02-06,250.0,19.0,11.2274751,France,D113/D256,10.0,C1,22.26680511631685,1.6922771888400805,0.076
Day 5,9720947,588912,BVI,2026-01-23,195.0,21.0,11.176367942999999,France,D113/D256,5.0,C2,17.447528659982307,1.8789646249211718,0.1076923076923077
Day 5,9721104,591939,BVI,2026-01-23,190.0,29.0,11.161925193,Italy,D113/D256,5.0,C2,17.022153142466415,2.5981181112185583,0.15263157894736842
Day 5,9720850,590597,BVI,2026-01-23,400.0,10.0,10.81877572,Japan,D120,20.0,C3/4,36.97276016735838,0.9243190041839596,0.025
Day 5,9720752,591156,BVI,2026-01-16,340.0,12.0,10.797250154,Italy,D113/D256,10.0,C1,31.489499191981025,1.111394089128742,0.03529411764705882
Day 5,9721083,591693,BVI,2026-01-23,196.0,23.0,10.5518935536,Sweden,D113/D256,7.0,C2,18.57486516561101,2.1797035653523125,0.11734693877551021
Day 5,9722271,589937,BVI,2026-02-06,260.0,19.0,10.426352456,France,D113/D256,13.0,C1,24.93681285926404,1.8223055551000644,0.07307692307692308
Day 5,9720686,590073,BVI,2026-01-16,280.0,15.0,10.306310392,Spain,D113/D256,5.0,C1,27.167821397785822,1.4554190034528118,0.05357142857142857
Day 5,9721004,592008,BVI,2026-01-23,272.0,18.0,10.2116996176,Belgium,D113/D256,8.0,C1,26.636114475126586,1.7626840461480828,0.0661764705882353
Day 5,9720830,588726,BVI,2026-01-23,450.0,4.0,9.73718766,Spain,D120,75.0,No Info,46.21457608838978,0.41079623189679804,0.008888888888888889
Day 5,9720988,588553,BVI,2026-01-23,224.0,18.0,9.639495532800002,France,D113/D256,7.0,No Info,23.2377305677255,1.8673176349065135,0.08035714285714286
Day 5,9721689,591187,BVI,2026-01-30,210.0,23.0,9.314484879,Poland,D113/D256,7.0,C2,22.545530185298396,2.46927235362792,0.10952380952380952
Day 5,9722047,590449,BVI,2026-01-30,248.0,17.0,9.3087676928,UK,D113/D256,8.0,C1,26.64155000793705,1.8262352828021364,0.06854838709677419
Day 5,9721127,590445S,BVI,2026-01-27,152.0,24.0,9.2373297272,Austria,D113/D256,4.0,C2,16.454971781772038,2.598153439227164,0.15789473684210525
Day 5,9721058,591799,BVI,2026-01-23,215.0,20.0,8.871791648,Italy,D113/D256,5.0,C2,24.23411285233104,2.2543360792866087,0.09302325581395349
Day 5,9722102,588854,BVI,2026-02-03,120.0,24.0,8.729318963999999,Austria,D113/D256,5.0,C2,13.746776867116894,2.749355373423379,0.2
Day 5,9721086,591995,BVI,2026-01-23,304.0,10.0,8.699692457600001,Spain,D113/D256,8.0,C1,34.943763987246165,1.1494659206330975,0.03289473684210526
Day 5,9720961,588207,BVI,2026-01-23,133.0,24.0,8.542224063799999,Germany,D113/D256,7.0,No Info,15.569715686061635,2.809572755379543,0.18045112781954886
Day 5,9720948,588314,BVI,2026-01-23,280.0,10.0,8.394342375999999,UK,D120,20.0,No Info,33.355799353686024,1.1912785483459296,0.03571428571428571
Day 5,9721023,591347,BVI,2026-01-23,160.0,14.0,8.183195504,France,D113/D256,20.0,C1,19.552264139576153,1.7108231122129132,0.0875
Day 5,9722093,588055,BVI,2026-02-03,80.0,35.0,7.9197208,Austria,D113/D256,5.0,C2,10.10136619967714,4.419347712358749,0.4375
Day 5,9721903,588447,BVI,2026-01-30,255.0,23.0,7.654967502,UK,None,15.0,C2,33.311702490360226,3.0045849305030794,0.09019607843137255
Day 5,9720894,588698,BVI,2026-01-23,240.0,10.0,7.5856998959999995,Germany,D113/D267,20.0,No Info,31.63847809568026,1.3182699206533441,0.041666666666666664
Day 5,9720943,588185,BVI,2026-01-23,136.0,20.0,7.5723580624,France,D113/D256,8.0,C2,17.960059320926494,2.641185194253896,0.14705882352941177
Day 5,9721882,590112,BVI,2026-01-30,136.0,20.0,7.5723580624,France,D113/D256,8.0,C2,17.960059320926494,2.641185194253896,0.14705882352941177
Day 5,9720863,590422,BVI,2026-01-23,275.0,10.0,7.551934335,Japan,D120,25.0,C3/4,36.41451154116795,1.3241640560424708,0.03636363636363636
Day 5,9722092,588960,BVI,2026-02-03,140.0,21.0,7.2442947360000005,Germany,D113/D256,5.0,C2,19.325552742115818,2.8988329113173728,0.15
Day 5,9721550,588965,BVI,2026-01-23,180.0,18.0,7.236939047340674,France,D113/D256,0.0,No Info,24.872394091275897,2.48723940912759,0.1
Day 5,9720969,588598,BVI,2026-01-23,140.0,15.0,7.217167972,France,D113/D256,5.0,C1,19.398190612044687,2.0783775655762167,0.10714285714285714
Day 5,9720990,590237,BVI,2026-01-23,172.0,20.0,7.162476804000001,Spain,D113/D256,4.0,C2,24.01403937586839,2.7923301599846964,0.11627906976744186
Day 5,9720921,589615,BVI,2026-01-23,90.0,34.0,7.108260597,Ireland,D113/D256,6.0,C2,12.661325337169542,4.783167349597383,0.37777777777777777
Day 5,9722001,588831,BVI,2026-01-30,120.0,20.0,7.1025210119999995,France,D113/D256,6.0,C2,16.89540936200753,2.8159015603345887,0.16666666666666666
Day 5,9720971,590185,BVI,2026-01-23,200.0,15.0,7.034246260000001,Italy,D113/D256,10.0,C1,28.43232844111431,2.1324246330835734,0.075
Day 5,9721011,590820,BVI,2026-01-23,240.0,10.0,6.93492192,Italy,D113/D256,20.0,C3/4,34.607455248753546,1.4419773020313977,0.041666666666666664
Day 5,9721692,591492,BVI,2026-01-30,300.0,4.0,6.922181220000001,Spain,D113/D256,50.0,C3/4,43.338940496562145,0.577852539954162,0.013333333333333334
Day 5,9721006,591297,BVI,2026-01-23,150.0,20.0,6.8872426650000005,Belgium,D113/D256,5.0,C2,21.779398127247486,2.9039197502996648,0.13333333333333333
Day 5,9718712,590692,BVI,2026-01-09,210.0,13.0,6.865096160999999,Japan,D113/D256,15.0,C1,30.589520536214966,1.8936369855752122,0.06190476190476191
Day 5,9721134,588590S,BVI,2026-01-27,144.0,20.0,6.7383501264,Austria,D113/D256,4.0,C2,21.370216343586286,2.968085603275873,0.1388888888888889
Day 5,9721809,591406,BVI,2026-01-30,203.0,13.0,6.7114050052,Italy,D113/D256,7.0,C1,30.24701978836257,1.9370012672350416,0.06403940886699508
Day 5,9721094,591996,BVI,2026-01-23,231.0,10.0,6.6106215714,Spain,D113/D256,7.0,C3/4,34.943763987246165,1.5127170557249423,0.04329004329004329
Day 5,9721959,590006,BVI,2026-01-30,140.0,25.0,6.48775407,France,D113/D256,5.0,C2,21.579116361295736,3.853413635945667,0.17857142857142858
